folder_label,droplet_id,camera,cine_file,first_frame,last_frame,total_frames,best_frame,best_dark_fraction
4mm-borosilicate,0843,g,sphere0843g.cine,-3385,-3310,76,-3366,0.0865
4mm-borosilicate,0843,v,sphere0843v.cine,-7645,-7535,111,-7619,0.1792
4mm-borosilicate,0853,g,sphere0853g.cine,-3430,-3345,86,-3409,0.0863
4mm-borosilicate,0853,v,sphere0853v.cine,-7745,-7625,121,-7721,0.1797
4mm-borosilicate,0863,g,sphere0863g.cine,-4145,-4075,71,-4129,0.0863
4mm-borosilicate,0863,v,sphere0863v.cine,-9380,-9260,121,-9354,0.1750
4mm-borosilicate,0873,g,sphere0873g.cine,-3005,-2925,81,-2989,0.0866
4mm-borosilicate,0873,v,sphere0873v.cine,-6780,-6670,111,-6757,0.1771
4mm-borosilicate,0883,g,sphere0883g.cine,-5450,-5380,71,-5435,0.0865
4mm-borosilicate,0883,v,sphere0883v.cine,-12340,-12225,116,-12316,0.1754
4mm-borosilicate,0893,g,sphere0893g.cine,-3025,-2960,66,-3010,0.0867
4mm-borosilicate,0893,v,sphere0893v.cine,-6830,-6720,111,-6805,0.1753
4mm-borosilicate,0903,g,sphere0903g.cine,-3615,-3545,71,-3599,0.0863
4mm-borosilicate,0903,v,sphere0903v.cine,-8165,-8065,101,-8139,0.1696
4mm-borosilicate,0913,g,sphere0913g.cine,-2485,-2415,71,-2471,0.0862
4mm-borosilicate,0913,v,sphere0913v.cine,-5610,-5510,101,-5586,0.1720
4mm-borosilicate,0923,g,sphere0923g.cine,-2490,-2420,71,-2476,0.0864
4mm-borosilicate,0923,v,sphere0923v.cine,-5615,-5515,101,-5594,0.1710
4mm-borosilicate,0933,g,sphere0933g.cine,-2650,-2590,61,-2637,0.0864
4mm-borosilicate,0933,v,sphere0933v.cine,-5985,-5885,101,-5960,0.1708
4mm-borosilicate,0943,g,sphere0943g.cine,-2565,-2485,81,-2543,0.0889
4mm-borosilicate,0943,v,sphere0943v.cine,-5785,-5685,101,-5759,0.1717
4mm-borosilicate,0953,g,sphere0953g.cine,-3485,-3425,61,-3474,0.0866
4mm-borosilicate,0953,v,sphere0953v.cine,-7885,-7775,111,-7860,0.1694
4mm-borosilicate,0963,g,sphere0963g.cine,-2670,-2600,71,-2653,0.0864
4mm-borosilicate,0963,v,sphere0963v.cine,-6025,-5925,101,-6003,0.1692
